"id0","lemmas","definition","examples","antonym_ids","antonym_lemmas","antonym_defs","antonym_examples"
"oewn-02003477-a","['responsible']","worthy of or requiring responsibility or trust; or held accountable","['a responsible adult', 'responsible journalism', 'a responsible position', ""the captain is responsible for the ship's safety"", 'the cabinet is responsible to the parliament']","['oewn-02005010-a']","[['irresponsible']]","['showing lack of care for consequences']","[['behaved like an irresponsible idiot', 'hasty and irresponsible action']]"
"oewn-02457510-a","['tough']","not given to gentleness or sentimentality","['a tough character']","['oewn-02457962-a']","[['tender']]","['given to sympathy or gentleness or sentimentality']","[['a tender heart', 'a tender smile', 'tender loving care', 'tender memories', 'a tender mother']]"
"oewn-02427979-v","['allow', 'let', 'permit']","make it possible through a specific action or lack of action for something to happen","['This permits the water to rush in', ""This sealed door won't allow the water come into the basement"", 'This will permit the rain to run off']","['oewn-02455370-v']","[['keep', 'prevent']]","['stop (someone or something) from doing something or being in a certain state']","[['We must prevent the cancer from spreading', 'His snoring kept me from falling asleep', 'Keep the child from eating the marbles']]"
"oewn-00431687-a","['unclear']","not clear to the mind","['the law itself was unclear on that point', 'the reason for their actions is unclear to this day']","['oewn-00429900-a']","[['clear']]","['readily apparent to the mind']","[['a clear and present danger', 'a clear explanation', 'a clear case of murder', 'a clear indication that she was angry', 'gave us a clear idea of human nature']]"
"oewn-07306035-n","['finish', 'conclusion', 'ending']","event whose occurrence ends something","['his death marked the ending of an era', 'when these final episodes are broadcast it will be the finish of the show']","['oewn-07305628-n']","[['beginning']]","['the event consisting of the start of something']","[['the beginning of the war']]"
"oewn-01843460-a","['precise']","sharply exact or accurate or delimited","['a precise mind', 'specified a precise amount', 'arrived at the precise moment']","['oewn-01845332-a']","[['imprecise']]","['not precise']","[['imprecise astronomical observations', 'the terms he used were imprecise and emotional']]"
"oewn-01229113-a","['honourable', 'honorable']","worthy of being honored; entitled to honor and respect","['an honorable man', 'led an honorable life', 'honorable service to his country']","['oewn-01230010-a']","[['dishonorable', 'dishonourable']]","['lacking honor or integrity; deserving dishonor']","[['dishonorable in thought and deed']]"
"oewn-00842395-a","['efficacious']","marked by qualities giving the power to produce an intended effect","['written propaganda is less efficacious than the habits and prejudices...of the readers', 'the medicine is efficacious in stopping a cough']","['oewn-00842950-a']","[['inefficacious']]","['lacking the power to produce a desired effect']","[['laws that are inefficacious in stopping crime']]"
"oewn-00218444-r","['thoughtlessly']","showing thoughtlessness","['he treated his parents thoughtlessly']","['oewn-00218268-r']","[['thoughtfully']]","['showing consideration and thoughtfulness']","[['he had thoughtfully brought with him some food to share']]"
"oewn-14501461-n","['failure']","lack of success","['he felt that his entire life had been a failure', 'that year there was a crop failure']","['oewn-14498478-n']","[['success']]","['a state of prosperity or fame']","[['he is enjoying great success', 'he does not consider wealth synonymous with success']]"
"oewn-00174984-r","['impatiently']","with impatience; in an impatient manner","['he answered her impatiently']","['oewn-00175130-r']","[['patiently']]","['with patience; in a patient manner']","[['he patiently played with the child']]"
"oewn-00075708-r","['forward', 'ahead']","toward the future; forward in time","['I like to look ahead in imagination to what the future may bring', 'I look forward to seeing you']","['oewn-00074467-r']","[['back', 'backward']]","['in or to or toward a past time']","[['set the clocks back an hour', 'never look back', 'lovers of the past looking fondly backward']]"
"oewn-00220887-v","['strengthen']","gain strength","['His body strengthened']","['oewn-00223926-v']","[['weaken']]","['become weaker']","[[""The prisoner's resistance weakened after seven days""]]"
"oewn-00058897-r","['indirectly']","not in a forthright manner","['he answered very indirectly']","['oewn-00058666-r']","[['straight', 'directly', 'flat']]","['in a forthright manner; candidly or frankly']","[[""he didn't answer directly"", 'told me straight out', 'came out flat for less work and more pay']]"
"oewn-00777138-a","['discriminate']","marked by the ability to see or make fine distinctions","['discriminate judgments', 'discriminate people']","['oewn-00777318-a']","[['indiscriminate']]","['not marked by fine distinctions']","[['indiscriminate reading habits', 'an indiscriminate mixture of colors and styles']]"
"oewn-01932775-a","['irrational']","not consistent with or using reason","['irrational fears', 'irrational animals']","['oewn-01931771-a']","[['rational']]","['consistent with or based on or using reason']","[['rational behavior', 'a process of rational inference', 'rational thought']]"
"oewn-00413955-r","['objectively']","with objectivity","['we must look at the facts objectively']","['oewn-00414088-r']","[['subjectively']]","['in a subjective way']","[['you cannot look at these facts subjectively']]"
"oewn-01974660-v","['set', 'go down', 'go under']","disappear beyond the horizon","['the sun sets early these days']","['oewn-01974362-v']","[['come up', 'rise', 'ascend', 'uprise']]","['come up, of celestial bodies']","[['The sun also rises', 'The sun uprising sees the dusk night fled...', 'Jupiter ascends']]"
"oewn-00025196-v","['strain', 'tense', 'tense up']","cause to be tense and uneasy or nervous or anxious","['he got a phone call from his lawyer that tensed him up']","['oewn-00025647-v']","[['unwind', 'loosen up', 'relax', 'make relaxed', 'unstrain', 'unlax']]","['cause to feel relaxed']","[['A hot bath always relaxes me']]"
"oewn-00019801-r","['always', ""e'er"", 'ever']","at all times; all the time and on every occasion","['I will always be there to help you', 'always arrives on time', 'there is always some pollution in the air', 'ever hoping to strike it rich', 'ever busy']","['oewn-00021214-r']","[[""ne'er"", 'never']]","['not at all; certainly not; not in any circumstances; not ever; at no time in the past or future']","[['I have never been to China', 'I shall never forget this day', 'had never seen a circus', 'never on Sunday', 'I will never marry you!', 'never fear']]"
"oewn-01106714-a","['specific']","(sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique","['rules with specific application', 'demands specific to the job', 'a specific and detailed account of the accident']","['oewn-01105084-a', 'oewn-01109313-a']","[['general'], ['nonspecific']]","['applying to all or most members of a category or group', 'not caused by a specific agent; used also of staining in making microscope slides']","[['the general public', 'general assistance', 'a general rule', 'in general terms', 'comprehensible to the general reader'], ['nonspecific enteritis']]"
"oewn-00353480-v","['end', 'terminate']","bring to an end or halt","['She ended their friendship when she found out that he had once been convicted of a crime', 'The attack on Poland terminated the relatively peaceful period after WW I']","['oewn-00349400-v', 'oewn-00346415-v']","[['start', 'begin', 'lead off', 'commence'], ['set out', 'get', 'start', 'begin', 'get down', 'start out', 'set about', 'commence']]","['set in motion, cause to start', 'take the first step or steps in carrying out an action']","[['The U.S. started a war in the Middle East', 'The Iraqis began hostilities', 'begin a new chapter in your life'], ['We began working at dawn', 'Who will start?', 'Get working as soon as the sun rises!', 'The first tourists began to arrive in Cambodia', 'He began early in the day', ""Let's get down to work now""]]"
"oewn-02116958-a","['separate']","independent; not united or joint","['a problem consisting of two separate issues', 'they went their separate ways', 'formed a separate church']","['oewn-02118964-a']","[['joint']]","['united or combined']","[['a joint session of Congress', 'joint owners']]"
"oewn-00867880-a","['unemployed']","not engaged in a gainful occupation","['unemployed workers marched on the capital']","['oewn-00867133-a']","[['employed']]","['having your services engaged for; or having a job especially one that pays wages or a salary']","[['most of our graduates are employed']]"
"oewn-01531310-v","['free', 'dislodge']","remove or force out from a position","['The dentist dislodged the piece of food that had been stuck under my gums', 'He finally could free the legs of the earthquake victim who was buried in the rubble']","['oewn-01530857-v']","[['wedge', 'stick', 'lodge', 'deposit']]","['put, fix, force, or implant']","[['lodge a bullet in the table', 'stick your thumb in the crack']]"
"oewn-00462768-a","['clear']","free from clouds or mist or haze","['on a clear day']","['oewn-00463344-a']","[['cloudy']]","['full of or covered with clouds']","[['cloudy skies']]"
"oewn-01500270-a","['meaningful']","having a meaning or purpose","['a meaningful explanation', 'a meaningful discussion', 'a meaningful pause']","['oewn-01501055-a']","[['meaningless', 'nonmeaningful']]","['having no meaning or direction or purpose']","[['a meaningless endeavor', 'a meaningless life', 'a verbose but meaningless explanation']]"
"oewn-02505612-a","['useful', 'utile']","being of use or service","['the girl felt motherly and useful', 'a useful job', 'a useful member of society']","['oewn-02506940-a']","[['useless']]","['having no beneficial use or incapable of functioning usefully']","[['a kitchen full of useless gadgets', 'she is useless in an emergency']]"
"oewn-01474283-a","['minor']","inferior in number or size or amount","['a minor share of the profits', 'Ursa Minor']","['oewn-01473917-a']","[['major']]","['greater in number or size or amount']","[['a major portion (a majority) of the population', 'Ursa Major', 'a major portion of the winnings']]"
"oewn-02529837-v","['come through', 'win', 'succeed', 'bring home the bacon', 'deliver the goods']","attain success or reach a desired goal","['The enterprise succeeded', 'We succeeded in getting tickets to the show', 'she struggled to overcome her handicap and won']","['oewn-02534046-v']","[['fail', 'go wrong', 'miscarry']]","['be unsuccessful']","[[""Where do today's public schools fail?"", 'The attempt to rescue the hostages failed miserably']]"
"oewn-00799359-v","['accept', 'go for', 'consent']","give an affirmative reply to; respond favorably to","['I cannot accept your invitation', 'I go for this resolution']","['oewn-00799092-v']","[['refuse', 'decline']]","['show unwillingness towards']","[['he declined to join the group on a hike']]"
"oewn-02373016-a","['waxy', 'impressible', 'impressionable']","easily impressed or influenced","['an impressionable youngster', 'an impressionable age', 'a waxy mind']","['oewn-02373832-a']","[['unimpressionable']]","['not sensitive or susceptible to impression']","[['an unimpressionable mind']]"
"oewn-00021214-r","[""ne'er"", 'never']","not at all; certainly not; not in any circumstances; not ever; at no time in the past or future","['I have never been to China', 'I shall never forget this day', 'had never seen a circus', 'never on Sunday', 'I will never marry you!', 'never fear']","['oewn-00019801-r']","[['always', ""e'er"", 'ever']]","['at all times; all the time and on every occasion']","[['I will always be there to help you', 'always arrives on time', 'there is always some pollution in the air', 'ever hoping to strike it rich', 'ever busy']]"
"oewn-04856472-n","['good', 'goodness']","moral excellence or admirableness","['there is much good to be found in people']","['oewn-04859319-n']","[['evilness', 'evil']]","['the quality of being morally wrong in principle or practice']","[['attempts to explain the origin of evil in the world']]"
"oewn-15290329-n","['offset', 'first', 'start', 'beginning', 'commencement', 'kickoff', 'get-go', 'starting time', 'showtime', 'outset']","the time at which something is supposed to begin","['they got an early start', 'she knew from the get-go that he was the man for her']","['oewn-15291496-n', 'oewn-15291722-n']","[['middle'], ['end', 'ending']]","['the point between the beginning and the end of a temporal period or process', 'the point in time at which something ends']","[['the middle of the war', 'rain during the middle of April'], ['the end of the year', 'the ending of warranty period']]"
"oewn-01872485-a","['unproductive']","not producing or capable of producing","['elimination of high-cost or unproductive industries']","['oewn-01871147-a']","[['productive']]","['producing or capable of producing (especially abundantly)']","[['productive farmland', 'his productive years', 'a productive collaboration']]"
"oewn-00201161-a","['following']","going or proceeding or coming after in the same direction","['the crowd of following cars made the occasion seem like a parade', 'tried to outrun the following footsteps']","['oewn-00200496-a']","[['leading']]","['going or proceeding or going in advance; showing the way']","[['we rode in the leading car', 'the leading edge of technology']]"
"oewn-01081517-a","['hostile']","not belonging to your own country's forces or those of an ally","['hostile naval and air forces']","['oewn-01081326-a']","[['friendly']]","[""of or belonging to your own country's forces or those of an ally""]","[['in friendly territory', 'he was accidentally killed by friendly fire']]"
"oewn-01187145-a","['headed']","having a head of a specified kind or anything that serves as a head; often used in combination","['headed bolts', 'three-headed Cerberus', 'a cool-headed fighter pilot']","['oewn-01187805-a']","[['headless']]","['not having a head or formed without a head']","[['the headless horseman', 'brads are headless nails']]"
"oewn-01323940-a","['guilty']","responsible for or chargeable with a reprehensible act","['guilty of murder', 'the guilty person', 'secret guilty deeds']","['oewn-01322826-a']","[['guiltless', 'clean-handed', 'innocent']]","['free from evil or guilt']","[['an innocent child', 'the principle that one is innocent until proved guilty']]"
"oewn-01908923-v","['walk']","use one's feet to advance; advance by steps","[""Walk, don't run!"", 'We walked instead of driving', 'She walks with a slight limp', 'The patient cannot walk yet', 'Walk over to the cabinet']","['oewn-01959843-v']","[['ride']]","['be carried or travel on or in a vehicle']","[['I ride to work in a bus', 'He rides the subway downtown every day']]"
"oewn-00813037-v","['avoid']","stay clear from; keep away from; keep out of the way of someone or something","['Her former friends now avoid her']","['oewn-00813960-v']","[['face', 'confront', 'face up']]","['deal with (something unpleasant) head on']","[['You must confront your problems', 'He faced the terrible consequences of his mistakes']]"
"oewn-02449895-a","['bottom']","situated at the bottom or lowest position","['the bottom drawer']","['oewn-02450419-a', 'oewn-02449153-a']","[['side'], ['top']]","['located on a side', 'situated at the top or highest position']","[['side fences', 'the side porch'], ['the top shelf']]"
"oewn-02504601-a","['used']","employed in accomplishing something","['the principle of surprise is the most used and misused of all the principles of war']","['oewn-02505035-a']","[['misused']]","['used incorrectly or carelessly or for an improper purpose']","[['misused words are often laughable but one weeps for misused talents']]"
"oewn-00079883-r","['actively']","in an active manner","['he participated actively in the war']","['oewn-00080014-r']","[['passively']]","['in a passive manner']","[['he listened passively']]"
"oewn-02238540-a","['numerical', 'mathematical']","relating to or having ability to think in or work with numbers","['tests for rating numerical aptitude', 'a mathematical whiz']","['oewn-02238326-a']","[['verbal']]","['relating to or having facility in the use of words']","[['a good poet is a verbal artist', 'a merely verbal writer who sacrifices content to sound', 'verbal aptitude']]"
"oewn-00729216-a","['dependent']","relying on or requiring a person or thing for support, supply, or what is needed","['dependent children', 'dependent on moisture']","['oewn-00731008-a']","[['independent']]","['free from external control and constraint']","[['an independent mind', 'a series of independent judgments', 'fiercely independent individualism']]"
"oewn-02468337-a","['untroubled']","not beset by troubles or disturbance or distress","['seemed untroubled by doubts of any kind', 'untroubled sleep', 'a kind untroubled face']","['oewn-02464331-a']","[['troubled']]","['characterized by or indicative of distress or affliction or danger or need']","[['troubled areas', 'fell into a troubled sleep', 'a troubled expression', 'troubled teenagers']]"
"oewn-04764142-n","['precariousness', 'uncertainty', 'uncertainness']","being unsettled or in doubt or dependent on chance","['the uncertainty of the outcome', 'the precariousness of his income']","['oewn-04760710-n']","[['certainty', 'sure thing', 'foregone conclusion']]","['something that is certain']","[['his victory is a certainty']]"
"oewn-01929790-a","['unquiet']","characterized by unrest or disorder","['unquiet days of riots', 'following the assassination of Martin Luter King ours was an unquiet nation', 'spent an unquiet night tossing and turning']","['oewn-01929162-a']","[['quiet']]","['characterized by an absence or near absence of agitation or activity']","[['a quiet life', 'a quiet throng of onlookers', 'quiet peace-loving people', 'the factions remained quiet for almost 10 years']]"
