"id0","lemmas","definition","examples","antonym_ids","antonym_lemmas","antonym_defs","antonym_examples"
"oewn-00992424-v","['approach']","make advances to someone, usually with a proposal or suggestion","['I was approached by the President to serve as his adviser in foreign matters']","[]","[]","[]","[]"
"oewn-02132078-v","['feel']","grope or feel in search of something","['He felt for his wallet']","[]","[]","[]","[]"
"oewn-00535441-s","['accessible', 'approachable']","capable of being read with comprehension","['readily accessible to the nonprofessional reader', 'the tales seem more approachable than his more difficult novels']","[]","[]","[]","[]"
"oewn-00287002-r","['clearly', 'clear']","in an easily perceptible manner","['could be seen clearly under the microscope', 'She cried loud and clear']","[]","[]","[]","[]"
"oewn-06358051-n","['credit']","an entry on a list of persons who contributed to a film or written work","['the credits were given at the end of the film']","[]","[]","[]","[]"
"oewn-00099445-n","['service']","the performance of duties by a waiter or servant","['that restaurant has excellent service']","[]","[]","[]","[]"
"oewn-05964190-n","['principle']","a rule or standard especially of good behavior","['a man of principle', 'he will not violate his principles']","[]","[]","[]","[]"
"oewn-01639550-v","['visualize', 'visualise']","form a mental picture of something that is invisible or abstract","['Mathematicians often visualize']","[]","[]","[]","[]"
"oewn-00088791-r","['temporarily']","for a limited time only; not permanently","['he will work here temporarily', 'he was brought out of retirement temporarily', 'a power failure temporarily darkened the town']","['oewn-00088404-r']","[['for good', 'permanently']]","['for a long time without essential change']","[['he is permanently disabled']]"
"oewn-01395201-s","['petite', 'diminutive', 'bantam', 'tiny', 'lilliputian', 'midget', 'flyspeck']","very small","['diminutive in stature', 'a lilliputian chest of drawers', 'her petite figure', 'tiny feet', 'the flyspeck nation of Bahrain moved toward democracy']","[]","[]","[]","[]"
"oewn-01470449-s","['small', 'little', 'minuscule']","lowercase","['little a', 'small a', ""e.e.cummings's poetry is written all in minuscule letters""]","[]","[]","[]","[]"
"oewn-01762726-v","['manufacture']","produce naturally","['this gland manufactures a specific substance only']","[]","[]","[]","[]"
"oewn-00982557-s","['quick', 'speedy']","accomplished rapidly and without delay","['was quick to make friends', 'his quick reaction prevented an accident', 'hoped for a speedy resolution of the problem', 'a speedy recovery', 'he has a right to a speedy trial']","[]","[]","[]","[]"
"oewn-01752636-s","['sensible']","readily perceived by the senses","['the sensible universe', 'a sensible odor']","[]","[]","[]","[]"
"oewn-00191632-n","['solution']","the successful action of solving a problem","['the solution took three hours']","[]","[]","[]","[]"
"oewn-02639795-v","['exclude']","lack or fail to include","['The cost for the trip excludes food and beverages']","['oewn-02639021-v']","[['include']]","['have as a part, be made up out of']","[['The list includes the names of many famous writers']]"
"oewn-01226942-s","['deceptive', 'misleading']","designed to deceive or mislead either deliberately or inadvertently","['the deceptive calm in the eye of the storm', 'deliberately deceptive packaging', 'a misleading similarity', 'statistics can be presented in ways that are misleading']","[]","[]","[]","[]"
"oewn-14514618-n","['score']","an amount due (as at a restaurant or bar)","[""add it to my score and I'll settle later""]","[]","[]","[]","[]"
"oewn-01521405-v","['spin']","work natural fibers into a thread","['spin silk']","[]","[]","[]","[]"
"oewn-00046442-r","['otherwise']","in other respects or ways","['he is otherwise normal', 'the funds are not otherwise available', 'an otherwise hopeless situation']","[]","[]","[]","[]"
"oewn-04686906-n","['visage', 'countenance']","the appearance conveyed by a person's face","['a pleasant countenance', 'a stern visage']","[]","[]","[]","[]"
"oewn-00752852-a","['easy']","posing no difficulty; requiring little effort","['an easy job', 'an easy problem', 'an easy victory', 'the house is easy to heat', 'satisfied with easy answers', 'took the easy way out of his dilemma']","['oewn-00748528-a']","[['difficult', 'hard']]","['not easy; requiring great physical or mental effort to accomplish or comprehend or endure']","[['a difficult task', 'nesting places on the cliffs are difficult of access', 'difficult times', 'why is it so hard for you to keep a secret?']]"
"oewn-01063192-v","['carry']","pass on a communication","['The news was carried to every village in the province']","[]","[]","[]","[]"
"oewn-05675457-n","['pattern', 'rule', 'convention', 'formula', 'normal']","something regarded as a normative example","['the convention of not naming the main character', 'violence is the rule not the exception', 'his formula for impressing visitors']","[]","[]","[]","[]"
"oewn-15228025-n","['school', 'schooltime', 'school day']","the period of instruction in a school; the time period when school is in session","['stay after school', ""he didn't miss a single day of school"", 'when the school day was done we would walk home together']","[]","[]","[]","[]"
"oewn-01500913-s","['purposeful']","having meaning through having an aim","['led a happy purposeful life']","[]","[]","[]","[]"
"oewn-02451684-v","['intern']","work as an intern","['The young doctor is interning at the Medical Center this year']","[]","[]","[]","[]"
"oewn-01798321-s","['simple']","unornamented","['a simple country schoolhouse', 'her black dress--simple to austerity']","[]","[]","[]","[]"
"oewn-01975617-v","['correct', 'decline', 'slump']","fall in value","['the stock market corrected', 'prices slumped']","[]","[]","[]","[]"
"oewn-00018622-a","['unacceptable']","not acceptable; not welcome","['a word unacceptable in polite society', 'an unacceptable violation of personal freedom']","['oewn-00017820-a']","[['acceptable']]","['worthy of acceptance or satisfactory']","[['acceptable levels of radiation', 'performances varied from acceptable to excellent']]"
"oewn-00153083-v","['increase']","make bigger or more","['The boss finally increased her salary', 'The university increased the number of students it admitted']","['oewn-00442400-v']","[['decrease', 'lessen', 'minify']]","['make become smaller']","[['He decreased his staff']]"
"oewn-00635105-v","['conjecture', 'speculate', 'hypothesize', 'suppose', 'hypothecate', 'theorize', 'theorise', 'hypothesise']","to believe especially on uncertain or tentative grounds","['Scientists supposed that large dinosaurs lived in swamps']","[]","[]","[]","[]"
"oewn-00670183-s","['circulating']","passing from one to another","['circulating bills and coins']","[]","[]","[]","[]"
"oewn-00852181-v","['tease', 'ride', 'rally', 'bait', 'rag', 'twit', 'tantalize', 'razz', 'taunt', 'cod', 'tantalise']","harass with persistent criticism or carping","['The children teased the new teacher', ""Don't ride me so hard over my failure"", 'His fellow workers razzed him when he wore a jacket and tie']","[]","[]","[]","[]"
"oewn-01244630-a","['running']","of advancing the ball by running","[""the team's running plays worked better than its pass plays""]","['oewn-01244800-a']","[['pass', 'passing']]","['of advancing the ball by throwing it']","[['a team with a good passing attack', 'a pass play']]"
"oewn-02567172-s","['professional']","engaged in by members of a profession","['professional occupations include medicine and the law and teaching']","[]","[]","[]","[]"
"oewn-02137900-v","['look', 'appear', 'seem']","give a certain impression of being something or having a certain aspect","['She seems to be sleeping', 'This appears to be a very difficult problem', 'This project looks fishy', 'They appeared like people who had not eaten or slept for a long time']","[]","[]","[]","[]"
"oewn-00155537-s","['mortified', 'humiliated', 'embarrassed']","made to feel uncomfortable because of shame or wounded pride","['too embarrassed to say hello to his drunken father on the street', 'humiliated that his wife had to go out to work', 'felt mortified by the comparison with her sister']","[]","[]","[]","[]"
"oewn-01615331-a","['undetermined']","not yet having been ascertained or determined","['of undetermined species']","[]","[]","[]","[]"
"oewn-00081834-v","['help', 'aid']","improve the condition of","['These pills will help the patient']","[]","[]","[]","[]"
"oewn-11473837-n","['work']","(physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force","['work equals force times distance']","[]","[]","[]","[]"
"oewn-00355829-r","['rough', 'roughly']","with roughness or violence (`rough' is an informal variant for `roughly')","['he was pushed roughly aside', 'they treated him rough']","[]","[]","[]","[]"
"oewn-00244122-r","['consciously']","with awareness","['she consciously played with the idea of inviting them']","['oewn-00244269-r']","[['unconsciously']]","['without awareness']","[['she jumped up unconsciously when he entered the room']]"
"oewn-01720478-v","['play']","perform on a certain location","['The prodigy played Carnegie Hall at the age of 16', 'She has been playing on Broadway for years']","[]","[]","[]","[]"
"oewn-01647199-v","['set off', 'trip', 'trigger', 'activate', 'spark off', 'touch off', 'spark', 'actuate', 'trigger off']","put in motion or move to act","['trigger a reaction', 'actuate the circuits']","[]","[]","[]","[]"
"oewn-01285016-v","['rootle', 'rout', 'root']","dig with the snout","['the pig was rooting for truffles']","[]","[]","[]","[]"
"oewn-02080527-v","['slip']","move smoothly and easily","['the bolt slipped into place', 'water slipped from the polished marble']","[]","[]","[]","[]"
"oewn-05131322-n","['bound', 'boundary', 'limit']","the greatest possible degree of something","['what he did was beyond the bounds of acceptable behavior', 'to the limit of his ability']","[]","[]","[]","[]"
"oewn-00688760-a","['indecisive']","not definitely settling something","['a long and indecisive war']","['oewn-00687757-a']","[['decisive']]","['determining or having the power to determine an outcome']","[['cast the decisive vote', 'two factors had a decisive influence']]"
"oewn-14460600-n","['glory', 'glorification']","a state of high honor","['he valued glory above life itself']","[]","[]","[]","[]"
"oewn-00074467-r","['back', 'backward']","in or to or toward a past time","['set the clocks back an hour', 'never look back', 'lovers of the past looking fondly backward']","['oewn-00075708-r']","[['forward', 'ahead']]","['toward the future; forward in time']","[['I like to look ahead in imagination to what the future may bring', 'I look forward to seeing you']]"
"oewn-00907512-s","['admirable']","deserving of the highest esteem or admiration","['an estimable young professor', 'trains ran with admirable precision', 'his taste was impeccable, his health admirable']","[]","[]","[]","[]"
"oewn-04938605-n","['touch', 'signature']","a distinguishing style","[""this room needs a woman's touch""]","[]","[]","[]","[]"
"oewn-07457610-n","['ladder', 'run', 'ravel']","a row of unravelled stitches","['she got a run in her stocking']","[]","[]","[]","[]"
"oewn-02168177-v","['sight', 'spy']","catch sight of; to perceive with the eyes","[""he caught sight of the king's men coming over the ridge""]","[]","[]","[]","[]"
"oewn-04930920-n","['origin', 'extraction', 'descent']","properties attributable to your ancestry","['he comes from good origins']","[]","[]","[]","[]"
"oewn-01530542-v","['throw']","cause to fall off","['The horse threw its inexperienced rider']","[]","[]","[]","[]"
"oewn-00367501-n","['tension']","the action of stretching something tight","['tension holds the belt in the pulleys']","[]","[]","[]","[]"
"oewn-00758694-v","['pretend', 'profess']","state insincerely","['He professed innocence but later admitted his guilt', 'She pretended not to have known the suicide bomber', 'She pretends to be an expert on wine']","[]","[]","[]","[]"
"oewn-01392385-s","['massive']","imposing in scale or scope or degree or power","['massive retaliatory power', 'a massive increase in oil prices', 'massive changes']","[]","[]","[]","[]"
"oewn-01004206-v","['trademark']","register the trademark of","['The company trademarked their new gadget']","[]","[]","[]","[]"
"oewn-01473299-v","['see']","receive as a specified guest","['the doctor will see you now', ""The minister doesn't see anybody before noon""]","[]","[]","[]","[]"
"oewn-00038407-r","['truly', 'in truth', 'really']","in fact (used as intensifiers or sentence modifiers)","['in truth, moral decay hastened the decline of the Roman Empire', ""really, you shouldn't have done it"", 'a truly awful book']","[]","[]","[]","[]"
"oewn-00124113-r","['economically']","with respect to economic science","['economically this proposal makes no sense']","[]","[]","[]","[]"
"oewn-09302364-n","['finding']","something that is found","['the findings in the gastrointestinal tract indicate that he died several hours after dinner', 'an area rich in archaeological findings']","[]","[]","[]","[]"
"oewn-13341882-n","['commission']","a fee for services rendered based on a percentage of an amount received or collected or agreed to be paid (as distinguished from a salary)","['he works on commission']","[]","[]","[]","[]"
"oewn-01866520-s","['privy', 'secret', 'secluded']","hidden from general view or use","['a privy place to rest and think', 'a secluded romantic spot', 'a secret garden']","[]","[]","[]","[]"
"oewn-02349970-s","['ace', 'super', 'topnotch', 'tiptop', 'top-notch', 'first-rate', 'A-one', 'crack', 'tops']","of the highest quality","['an ace reporter', 'a crack shot', 'a first-rate golfer', 'a super party', 'played top-notch tennis', 'an athlete in tiptop condition', 'she is absolutely tops']","[]","[]","[]","[]"
"oewn-01101986-a","['funded']","furnished with funds","['well-funded research']","['oewn-01102083-a']","[['unfunded']]","['not furnished with funds']","[['an unfunded project']]"
"oewn-00091262-s","['stressful', 'nerve-wracking', 'trying', 'nerve-racking']","extremely irritating to the nerves","['nerve-racking noise', 'the stressful days before a war', 'a trying day at the office']","[]","[]","[]","[]"
"oewn-01896819-s","['self-aggrandizing', 'big', 'boastful', 'self-aggrandising', 'braggy', 'cock-a-hoop', 'braggart', 'bragging', 'crowing']","exhibiting self-importance","['big talk']","[]","[]","[]","[]"
"oewn-00931219-s","['innocent', 'free', 'barren', 'devoid', 'destitute']","completely wanting or lacking","['writing barren of insight', 'young recruits destitute of experience', 'innocent of literary merit', 'the sentence was devoid of meaning']","[]","[]","[]","[]"
"oewn-00700621-v","['settle', 'decide', 'resolve', 'adjudicate']","bring to an end; settle conclusively","['The case was decided', 'The judge decided the case in favor of the plaintiff', 'The father adjudicated when the sons were quarreling over their inheritance']","[]","[]","[]","[]"
"oewn-01000931-v","['save', 'write']","record data on a computer","['boot-up instructions are written on the hard disk']","[]","[]","[]","[]"
"oewn-13486023-n","['development', 'evolution']","a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)","['the development of his ideas took many years', 'the evolution of Greek civilization', 'the slow development of her skill as a writer']","[]","[]","[]","[]"
"oewn-00257103-s","['thrown', 'thrown and twisted']","twisted together; as of filaments spun into a thread","['thrown silk is raw silk that has been twisted and doubled into yarn']","[]","[]","[]","[]"
"oewn-00232695-s","['improved']","become or made better in quality","['was proud of his improved grades', 'an improved viewfinder']","[]","[]","[]","[]"
"oewn-04348764-n","['construction', 'structure']","a thing constructed; a complex entity constructed of many parts","['the structure consisted of a series of arches', 'she wore her hair in an amazing construction of whirls and ribbons']","[]","[]","[]","[]"
"oewn-05968445-n","['creationism']","the literal belief in the account of Creation given in the Book of Genesis","['creationism denies the theory of evolution of species']","[]","[]","[]","[]"
"oewn-07042734-n","['musical theme', 'theme', 'melodic theme', 'idea']","(music) melodic subject of a musical composition","['the theme is announced in the first measures', 'the accompanist picked up the idea and elaborated it']","[]","[]","[]","[]"
"oewn-00905999-v","['discharge', 'clear', 'acquit', 'assoil', 'exculpate', 'exonerate']","pronounce not guilty of criminal charges","['The suspect was cleared of the murder charges']","['oewn-00908320-v']","[['convict']]","['find or declare guilty']","[['The man was convicted of fraud and sentenced']]"
"oewn-00628728-v","['read']","interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior","['She read the sky and predicted rain', ""I can't read his strange behavior"", 'The fortune teller read his fate in the crystal ball']","[]","[]","[]","[]"
"oewn-02397742-v","['task']","assign a task to","['I tasked him with looking after the children']","[]","[]","[]","[]"
"oewn-01992900-v","['sink', 'slump', 'slide down']","fall or sink heavily","['He slumped onto the couch', 'My spirits sank']","[]","[]","[]","[]"
"oewn-01408930-a","['biological', 'natural']","(of a parent or child) related by blood; genetically related","['biological child', 'natural parent']","['oewn-01409235-a']","[['adoptive']]","['of parents and children; related by adoption']","[['adoptive parents']]"
"oewn-00135322-s","['accessible']","easy to get along with or talk to; friendly","['an accessible and genial man']","[]","[]","[]","[]"
"oewn-00096162-r","['down']","away from a more central or a more northerly place","['was sent down to work at the regional office', 'worked down on the farm', 'came down for the wedding', 'flew down to Florida']","['oewn-00097310-r']","[['up']]","['to a more central or a more northerly place']","[['was transferred up to headquarters', 'up to Canada for a vacation']]"
"oewn-01208838-v","['touch']","make physical contact with, come in contact with","['Touch the stone for good luck', 'She never touched her husband']","[]","[]","[]","[]"
"oewn-06797496-n","['teaser', 'puzzle', 'mystifier', 'puzzler']","a particularly baffling problem that is said to have a correct solution","['he loved to solve chessmate puzzles', ""that's a real puzzler""]","[]","[]","[]","[]"
"oewn-04683134-n","['image']","the general impression that something (a person or organization or product) presents to the public","['although her popular image was contrived it served to inspire music and pageantry', 'the company tried to project an altruistic image']","[]","[]","[]","[]"
"oewn-00228075-r","[""o'er"", 'over']","throughout a period of time","['stay over the weekend']","[]","[]","[]","[]"
"oewn-01186429-v","['answer']","be satisfactory for; meet the requirements of or serve the purpose of","['This may answer her needs']","[]","[]","[]","[]"
"oewn-00192141-s","['awake', 'alert', 'alive']","mentally perceptive and responsive","['an alert mind', 'alert to the problems', 'alive to what is going on', 'awake to the dangers of her situation', 'was now awake to the reality of his predicament']","[]","[]","[]","[]"
"oewn-00201227-v","['delete', 'edit', 'blue-pencil']","cut or eliminate","['she edited the juiciest scenes']","[]","[]","[]","[]"
"oewn-08481612-n","['movement', 'front', 'social movement']","a group of people with a common ideology who try together to achieve certain general goals","['he was a charter member of the movement', 'politicians have to respect a mass movement', 'he led the national liberation front']","[]","[]","[]","[]"
"oewn-02401347-v","['constitute', 'name', 'appoint', 'nominate']","create and charge with a task or function","['nominate a committee']","[]","[]","[]","[]"
"oewn-02095956-v","['step']","walk a short distance to a specified place or in a specified manner","['step over to the blackboard']","[]","[]","[]","[]"
"oewn-01991476-s","['notorious', 'infamous', 'ill-famed']","known widely and usually unfavorably","['a notorious gangster', 'the tenderloin district was notorious for vice', 'the infamous Benedict Arnold']","[]","[]","[]","[]"
"oewn-01638974-v","['see', 'project', 'figure', 'visualize', 'visualise', 'image', 'envision', 'fancy', 'picture']","imagine; conceive of; see in one's mind","[""I can't see him on horseback!"", 'I can see what will happen', 'I can see a risk in this strategy']","[]","[]","[]","[]"
"oewn-00480675-s","['painful', 'irritating']","causing physical discomfort","['bites of black flies are more than irritating; they can be very painful']","[]","[]","[]","[]"
"oewn-00426998-r","['pitifully']","to a pitiful degree","['wages were pitifully low, particularly the wages of women']","[]","[]","[]","[]"
"oewn-14554805-n","['activity']","(chemistry) the capacity of a substance to take part in a chemical reaction","['catalytic activity']","[]","[]","[]","[]"
"oewn-00473934-v","['sparkle', 'coruscate', 'scintillate']","be lively or brilliant or exhibit virtuosity","['The musical performance sparkled', 'A scintillating conversation', 'his playing coruscated throughout the concert hall']","[]","[]","[]","[]"
"oewn-01150463-n","['curtailment', 'suppression']","the act of withholding or withdrawing some book or writing from publication or circulation","['a suppression of the newspaper']","[]","[]","[]","[]"
"oewn-01084999-v","['enter', 'participate']","become a participant; be involved in","['enter a race', 'enter an agreement', 'enter a drug treatment program', 'enter negotiations']","['oewn-01085437-v']","[['quit', 'give up', 'drop by the wayside', 'drop out', 'fall by the wayside', 'throw in', 'chuck up the sponge', 'throw in the towel']]","['give up in the face of defeat of lacking hope; admit defeat']","[['In the second round, the challenger gave up']]"
"oewn-08421145-n","['Opposition']","the major political party opposed to the party in office and prepared to replace it if elected","[""Her Majesty's loyal opposition""]","[]","[]","[]","[]"
"oewn-00844451-v","['pick', 'blame', 'find fault']","harass with constant criticism","[""Don't always pick on your little brother""]","[]","[]","[]","[]"
"oewn-00900454-v","['bow down', 'bow']","bend one's knee or body, or lower one's head","['He bowed before the King', 'She bowed her head in shame']","[]","[]","[]","[]"
"oewn-00880654-a","['explorative', 'exploratory']","serving in or intended for exploration or discovery","['an exploratory operation', 'exploratory reconnaissance', 'digging an exploratory well in the Gulf of Mexico', 'exploratory talks between diplomats']","[]","[]","[]","[]"
"oewn-00918880-v","['guess', 'venture', 'hazard', 'pretend']","put forward, of a guess, in spite of possible refutation","['I am guessing that the price of real estate will rise again', 'I cannot pretend to say that you are wrong']","[]","[]","[]","[]"
"oewn-00382272-v","['transform', 'transmute', 'metamorphose']","change in outward structure or looks","['He transformed into a monster', 'The salesman metamorphosed into an ugly beetle']","[]","[]","[]","[]"
"oewn-14031349-n","['virus']","a harmful or corrupting agency","['bigotry is a virus that must not be allowed to spread', 'the virus of jealousy is latent in everyone']","[]","[]","[]","[]"
"oewn-00715901-v","['correlate']","bring into a mutual, complementary, or reciprocal relation","['I cannot correlate these two pieces of information']","[]","[]","[]","[]"
"oewn-02211988-v","['buy', 'purchase']","obtain by purchase; acquire by means of a financial transaction","['The family purchased a new car', 'The conglomerate acquired a new company', 'She buys for the big department store']","['oewn-02247246-v']","[['sell']]","['exchange or deliver for money or its equivalent']","[['He sold his house in January', 'She sells her body to survive and support her drug habit']]"
"oewn-00030046-s","['avaricious', 'greedy', 'covetous', 'grasping', 'grabby', 'prehensile']","immoderately desirous of acquiring e.g. wealth","['they are avaricious and will do anything for money', ""casting covetous eyes on his neighbor's fields"", 'a grasping old miser', 'grasping commercialism', 'greedy for money and power', 'grew richer and greedier', 'prehensile employers stingy with raises for their employees']","[]","[]","[]","[]"
"oewn-00060392-r","['more and more', 'progressively', 'increasingly']","advancing in amount or intensity","['she became increasingly depressed']","[]","[]","[]","[]"
"oewn-05939522-n","['pattern', 'form', 'shape']","a perceptual structure","['the composition presents problems for students of musical form', 'a visual pattern must include not only objects but the spaces between them']","[]","[]","[]","[]"
"oewn-02722977-v","['carry', 'take', 'pack']","have with oneself; have on one's person","['She always takes an umbrella', 'I always carry money', 'She packs a gun when she goes into the mountains']","[]","[]","[]","[]"
"oewn-00587808-v","['downsize']","(of a company) reduce in size or number of employees","['the company downsized its research staff']","[]","[]","[]","[]"
"oewn-00729105-v","['credit']","give someone credit for something","['We credited her for saving our jobs']","[]","[]","[]","[]"
"oewn-05814863-n","['grasping']","understanding with difficulty","['the lecture was beyond his most strenuous graspings']","[]","[]","[]","[]"
"oewn-02465209-s","['anxious', 'nervous', 'queasy', 'unquiet', 'uneasy']","causing or fraught with or showing anxiety","['spent an anxious night waiting for the test results', 'cast anxious glances behind her', 'those nervous moments before takeoff', 'an unquiet mind']","[]","[]","[]","[]"
"oewn-04871431-n","['determination', 'purpose']","the quality of being determined to do or achieve something; firmness of purpose","['his determination showed in his every movement', 'he is a man of purpose']","[]","[]","[]","[]"
"oewn-00687584-v","['reject']","not accept something given or offered","['I reject the idea of starting a war', ""The journal rejected the student's paper""]","['oewn-00688348-v']","[['accept']]","['consider or hold as true']","[['I cannot accept the dogma of this church', 'accept an argument']]"
"oewn-07450952-n","['rush']","a sudden burst of activity","['come back after the rush']","[]","[]","[]","[]"
"oewn-00993417-v","['enlighten', 'edify']","make understand","[""Can you enlighten me--I don't understand this proposal""]","[]","[]","[]","[]"
"oewn-02091950-a","['scientific']","conforming with the principles or methods used in science","['a scientific approach']","['oewn-02092278-a']","[['unscientific']]","['not consistent with the methods or principles of science']","[['an unscientific lack of objectivity']]"
"oewn-07343356-n","['producer']","something that produces","['Maine is a leading producer of potatoes', 'this microorganism is a producer of disease']","[]","[]","[]","[]"
"oewn-02103353-v","['dance']","skip, leap, or move up and down or sideways","['Dancing flames', 'The children danced with joy']","[]","[]","[]","[]"
"oewn-00227509-r","['big']","on a grand scale","['think big']","['oewn-00227588-r']","[['small']]","['on a small scale']","[['think small']]"
"oewn-00104366-s","['uncertain']","ambiguous (especially in the negative)","['she spoke in no uncertain terms']","[]","[]","[]","[]"
"oewn-01933854-a","['intellectual', 'cerebral']","involving intelligence rather than emotions or instinct","['a cerebral approach to the problem', 'cerebral drama']","['oewn-01933678-a']","[['emotional']]","['determined or actuated by emotion rather than reason']","[['it was an emotional judgment']]"
"oewn-15317305-n","['turn', 'go', 'tour', 'spell']","a time period for working (after which you will be relieved by someone else)","[""it's my go"", 'a spell of work']","[]","[]","[]","[]"
"oewn-10189653-n","['hire']","a newly hired employee","['the new hires need special training']","[]","[]","[]","[]"
"oewn-02337347-a","['subordinate']","subject or submissive to authority or the control of another","['a subordinate kingdom']","['oewn-02338328-a']","[['insubordinate']]","['not submissive to authority']","[['a history of insubordinate behavior', 'insubordinate boys']]"
"oewn-01140308-n","['reorganisation', 'shakeup', 'reorganization', 'shake-up']","the imposition of a new organization; organizing differently (often involving extensive and drastic changes)","['a committee was appointed to oversee the reorganization of the curriculum', 'top officials were forced out in the cabinet shakeup']","[]","[]","[]","[]"
"oewn-06664322-n","['tip', 'lead', 'wind', 'confidential information', 'steer', 'hint']","an indication of potential opportunity","['he got a tip on the stock market', 'a good lead for a job']","[]","[]","[]","[]"
"oewn-00350707-r","['gloriously']","blessedly or wonderfully","['how gloriously happy she had been during those few fleeting moments of time']","[]","[]","[]","[]"
